Name,ANSI,USPS,USCG
UNITED STATES,00,US,
ALABAMA,01,AL,AL
ALASKA,02,AK,AK
ARIZONA,04,AZ,AZ
ARKANSAS,05,AR,AR
CALIFORNIA,06,CA,CF
COLORADO,08,CO,CL
CONNECTICUT,09,CT,CT
DELAWARE,10,DE,DL
DISTRICT OF COLUMBIA,11,DC,DC
FLORIDA,12,FL,FL
GEORGIA,13,GA,GA
HAWAII,15,HI,HA
IDAHO,16,ID,ID
ILLINOIS,17,IL,IL
INDIANA,18,IN,IN
IOWA,19,IA,IA
KANSAS,20,KS,KA
KENTUCKY,21,KY,KY
LOUISIANA,22,LA,LA
MAINE,23,ME,ME
MARYLAND,24,MD,MD
MASSACHUSETTS,25,MA,MS
MICHIGAN,26,MI,MC
MINNESOTA,27,MN,MN
MISSISSIPPI,28,MS,MI
MISSOURI,29,MO,MO
MONTANA,30,MT,MT
NEBRASKA,31,NE,NB
NEVADA,32,NV,NV
NEW HAMPSHIRE,33,NH,NH
NEW JERSEY,34,NJ,NJ
NEW MEXICO,35,NM,NM
NEW YORK,36,NY,NY
NORTH CAROLINA,37,NC,NC
NORTH DAKOTA,38,ND,ND
OHIO,39,OH,OH
OKLAHOMA,40,OK,OK
OREGON,41,OR,OR
PENNSYLVANIA,42,PA,PA
RHODE ISLAND,44,RI,RI
SOUTH CAROLINA,45,SC,SC
SOUTH DAKOTA,46,SD,SD
TENNESSEE,47,TN,TN
TEXAS,48,TX,TX
UTAH,49,UT,UT
VERMONT,50,VT,VT
VIRGINIA,51,VA,VA
WASHINGTON,53,WA,WN
WEST VIRGINIA,54,WV,WV
WISCONSIN,55,WI,WS
WYOMING,56,WY,WY
AMERICAN SAMOA,60,AS,AS
GUAM,66,GU,GU
NOTHERN MARIANA ISLANDS,69,MP,CM
PUERTO RICO,72,PR,PR
"VIRGIN ISLANDS, U.S.",78,VI,VI
UNITED STATES MINOR OUTLYING ISLANDS,74,UM,
BAKER ISLAND,81,,
HOWLAND ISLAND,84,,
JARVIS ISLAND,86,,
JOHNSTON ATOLL,67,,
KINGMAN REEF,89,,
MIDWAY ATOLL,71,,
NAVASSA ISLAND,76,,
PALMYRA ATOLL,95,,
WAKE ISLAND,79,,
MARSHALL ISLANDS,68,MH,
"MIRCRONESIA, FEDERATED STATES OF",64,FM,
PALAU,70,PW,
,,AA,
"Armed Forces in Europe, the Middle East, Africa, and Canada",,AE,
Armed Forces in the Pacific,,AP,
NOTHERN MARIANA ISLANDS,,CM,
PANAMA CANAL ZONE,,CZ,
,,TT,
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,
UNITED STATES ARMY,,,
